Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,label,random
SARS-CoV-2 has been circulating in northeastern Brazil since February 2020: evidence for antibody detection in asymptomatic patients,"Gurgel, Ricardo Queiroz; Vieira, Sarah Cristina Fontes; de Sa, Lais Catarine; Lima, Alexandra Giovanna Aragao; Souza, Daniela Raguer Valadao; Martins, Aline Fagundes; Neto, Jose Melquiades de Rezende; Matos, Igor Leonardo Santos; Borges, Lysandro Pinto; Cuevas, Luis Eduardo ","We screened stored samples collected before COVID-19 had been reported in Brazil. 989 samples were tested for SAR-CoV-2 antibodies using two different methods; 16 (1.6%) were positive (7 (43.8%) IgM, 3 (18.8%) IgG and 6 (37.5%) IgG/IgM positive), suggesting SARS-CoV-2 had circulated before the first reported COVID-19 case in Brazil.Copyright Â© 2020 The British Infection Association",2021,/,Journal of Infection,82,5,186-230,,http://dx.doi.org/10.1016/j.jinf.2020.11.037,2010241800,#106165,Gurgel 2021,,,1,0.376488557
SARS-CoV-2 serological assay and viral testing: a report of professional football setting.,"Hassanmirzaei, Bahar; Haratian, Zohreh; Ahmadzadeh Amiri, Ali; Ahmadzadeh Amiri, Amir; Moghadam, Navid","PURPOSE OF THE STUDY: PCR is the current standard test for the diagnosis of SARS-CoV-2 infection. However, due to its limitations, serological testing is considered an alternative method for detecting SARS-CoV-2 exposure. In this study, we measured the level of SARS-CoV-2 IgM and IgG antibodies of male professional football players and compared the results with the standard PCR test to investigate the association between the two tests., STUDY DESIGN: Participants were male professional football players and team officials. Nasopharyngeal swabs and peripheral blood samples were collected for the PCR and serological tests, respectively. Also, previous records of COVID-19 testing and symptoms were gathered. Those with previous positive PCR tests who tested negative for the second time were considered to be recovered patients., RESULTS: Of the 1243 subjects, 222 (17.9%) were seropositive, while 29 (2.3%) tested positive for the SARS-CoV-2 PCR test. Sixty percent of symptomatic cases with a negative PCR were found to be seropositive. The mean level of IgM was significantly higher in PCR-positive and symptomatic subjects, whereas the recovered cases showed significantly higher levels of IgG., CONCLUSION: Our study revealed an inconsistency of results between the two tests; therefore, although application of serological assays alone seems insufficient in diagnosing COVID-19 disease, the findings are beneficial in the comprehension and the management of the disease. Copyright Â© Author(s) (or their employer(s)) 2021. No commercial re-use. See rights and permissions. Published by BMJ.",2021,/,Postgraduate medical journal,,"pfx, 0234135",,,https://dx.doi.org/10.1136/postgradmedj-2021-140176,33931556,#105335,Hassanmirzaei 2021,,,1,0.10011616
SARS-CoV-2 seroprevalence in Germany - a population based sequential study in five regions,"Harries, Manuela; Gornyk, Daniela; GlÃ¶ckner, Stephan; Strengert, Monika; Kerrinnes, Tobias; Bojara, Gerhard; Castell, Stefanie; Frank, Kerstin; Gubbe, Knut; Heise, Jana-Kristin; Hernandez, Pilar; Kappert, Oliver; Kern, Winfried; Illig, Thomas; Klopp, Norman; MaaÃŸ, Henrike; Ortmann, Julia; Kessel, Barbora; Roller, Gottfried; SchlÃ¼ter, Monike; Tonn, Torsten; Ziemons, Michael; Kemmling, Yvonne; Lange, Berit; Krause, GÃ©rard","Prevalence of SARS-CoV-2 antibodies is an essential indicator to guide measures. Few population-based estimates are available in Germany. We determine seroprevalence allowing comparison between regions, time points, socio-demographic and health-related factors. MuSPAD is a sequential multi-local seroprevalence study. We randomly recruited adults in five counties with differing cumulative SARS-CoV-2 incidence July 2020 -February 2021. Serostatus was determined using Spike S1-specific IgG ELISA. We determined county-wise proportions of seropositivity. We assessed underestimation of infections, county and age specific infection fatality risks, and association of seropositivity with demographic, socioeconomic and health factors. We found seroprevalence of 2.4 % (95%CI: 1.8-3.1%) for Reutlingen in June 2020 (stage 1) which increased to 2.9% (95%CI: 2.1-3.8%) in October (stage 2), Freiburg stage 1 1.5% (95% CI: 1.1-2.1%) vs. 2.5% (95%CI: 1.8-3.4%), Aachen stage 1 2.3% (95% CI: 1.7-3.1%) vs. 5.4% (95%CI: 4.4-6.6%), OsnabrÃ¼ck 1.3% (95% CI: 1.0-1.9%) and Magdeburg in Nov/Dec 2020. 2.4% (95%CI 1.9-3.1%). Number needed to quarantine to prevent one infection was 8.2. The surveillance detection ratio (SDR) between number of infections based on our results and number reported to health authorities ranged from 2.5-4.5. Participants aged 80+ had lower SDR. Infection fatality estimates ranged from 0.2-2.4%. Lower education was associated with higher, smoking with lower seropositivity. Seroprevalence remained low until December 2020 with high underdetection. The second wave from November 2020 to February 2021 resulted in additional 2-5% of the population being infected. Detected age specific differences of SDR should be taken into account in modelling and forecasting COVID-19 morbidity. <h4>Funding</h4> The Helmholtz Association, European Unionâ€™s Horizon 2020 research and innovation programme [grant number 101003480] and intramural funds of the Helmholtz Centre for infection (HZI). <h4>Highlights</h4> <h4>Evidence before this study</h4> Seroepidemiological surveys on SARS-CoV-2 are a useful tool to track the transmission during the epidemic. We searched PubMed/the pre-print server medRxiv and included web-based reports from German health organizations using the keywords â€œseroprevalenceâ€, â€œSARS-CoV-2â€, â€œGermanyâ€ and similar other English and German terms in the period from January 1st, 2020 until March 2021. We identified 30 published studies in Germany which mostly report low SARS-CoV-2 seroprevalence (<5%). Most of these surveys were so-called hotspot studies which assessed seroprevalence after localized outbreaks or examined seroprevalence of specific population groups such as e.g. medical staff. Few studies are either population-based or blood donor-based, but do not allow comparisons between regions. To date, we only consider the Corona sub-study of the Rhineland study similar to MuSPAD. It reports a low SARS-CoV-2 seroprevalence (46/4755; 0.97%; 95% CI: 0.72-1.30). Based on this, almost the entire German population remained susceptible to a SARS-CoV-2 infection by the end of 2020. <h4>Added value of this study</h4> We provide the first comprehensive, high-precision multi-region population-based SARS-CoV-2 seroprevalence study with representative sampling following the WHO protocol in Germany. By measuring SARS-CoV-2 IgG, we explore immunity at regional and national level over time. We also assess risk factors and sample each region twice, which permits to monitor seroprevalence progression throughout the epidemic in different exemplary German regions. <h4>Implications of all the available evidence</h4> Our results show low seroprevalence (<3%) until Mid-December 2020 in all regions. While estimates in Reutlingen, Aachen, Freiburg and OsnabrÃ¼ck reflect low seroprevalence mostly after the first wave, the survey in Magdeburg cumulatively already represents the beginning of the second wave. The number needed to quarantine to prevent one infection was 8.2 in our study. We also show that for the first wave reported infections reflected overall around 25% of those actually infected rising to 40-50% in the second wave. A slightly raised infection risk could be shown for persons with lower education.",2021,,,,,,PPR334882,10.1101/2021.05.04.21256597,,#106445,Harries 2021,,,1,0.385570528
Challenges and responses of elective orthopaedic surgery during the second wave of COVID-19.,"Nakai, Tsuyoshi; Iwasaki, Haruaki; Nishikawa, Tomoya; Higuchi, Ryo; Sakata, Kosuke; Matsuoka, Hozo; Iwata, Hirokazu; Sogo, Eiji; Nanno, Katsuhiko; Nakamura, Shigeko; Kuroda, Sanae; Hayashi, Junzo; Nakata, Seizoh","BACKGROUND: Elective orthopaedic surgery has been severely curtailed because of coronavirus disease, 2019. There is scant scientific evidence to guide surgeons in assessing the protocols that must be implemented before resuming elective orthopaedic surgery safely after the second wave of the coronavirus disease, 2019., METHODS: A retrospective review of elective orthopaedic surgeries performed between May 15, 2020, and November 20, 2020, was conducted. A screening questionnaire was used, and reverse transcription-polymerase chain reaction and severe acute respiratory syndrome coronavirus-2 immunoglobulin G and IgM antibodies testing were assessed in all admitted patients. Screening and testing data for coronavirus disease was reviewed for all patients., RESULTS: Of 592 patients tested for severe acute respiratory syndrome coronavirus-2 during the study period, 21 (3.5%) tested positive. There were 2 patients (0.3%) with positive reverse transcription-polymerase chain reaction tests, 3 (0.5%) with positive IgG and IgM antibodies, 13 (2.2%) with positive IgG antibodies, and 10 (1.7%) with positive IgM antibodies. Among these 21 patients, 20 (95.2%) were asymptomatic., CONCLUSIONS: Our findings suggest that most elective orthopaedic surgery patients with severe acute respiratory syndrome coronavirus-2 are asymptomatic. In the second wave of coronavirus disease, 2019, universal testing of all patients should be strongly considered as an important measure to prevent clusters of in-hospital transmission of the disease. Copyright Â© 2021 The Japanese Orthopaedic Association. Published by Elsevier B.V. All rights reserved.",2021,/,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,,"c5t, 9604934",,,https://dx.doi.org/10.1016/j.jos.2021.02.017,33902971,#103567,Nakai 2021,,,1,0.422472116
SARS-Cov2 Infection Detection by Polymerase Chain Reaction and Serologic Testing in Clinical Practice.,"Murad, Douglas; Chandrasekaran, Sukantha; Pallai, Ajaya; Garner, Omai B; Denny, Christopher T","Patients with SARS-Cov2 can be diagnosed by polymerase chain reaction (PCR) during the time of acute infection or later in their clinical course by detection of virus specific antibodies. While in theory complementary, both PCR and serologic tests have practical shortcomings. A retrospective study was performed in order to further define these limitations in a clinical context and to determine how to best utilize these tests in a coherent fashion. A total of 3,075 patients underwent both PCR and serology tests at UCLA in the study period. Among these, 2731 (89%) had no positive tests at all, 73 (2%) had a positive PCR test and only negative serology tests, 144 (5%) had a positive serology test and only negative PCR tests, and 127 (4%) had positive PCR and serology tests. Approximately half of the patients with discordant results (i.e. PCR positive, serology negative or vice versa) had mistimed tests in reference to the course of their disease. PCR positive patients who were asymptomatic or pregnant were less likely to generate a detectable humoral immune response to SARS-Cov2. On a quantitative level, the log number of days between symptom onset and PCR cycle threshold (Ct) values were positively correlated. However, there was no apparent relationship between PCR Ct and serologic AU/ml results. Copyright Â© 2021 American Society for Microbiology.",2021,/,Journal of clinical microbiology,,"hsh, 7505564",,,https://dx.doi.org/10.1128/JCM.00431-21,33903168,#103487,Murad 2021,,,1,0.715447198
Expanding COVID-19 Vaccine Availability: Role for Combined Orthogonal Serology Testing (COST).,"Narasimhan, Madhusudhanan; Mahimainathan, Lenin; Araj, Ellen; Clark, Andrew E; Wilkinson, Kathleen; Yekkaluri, Sruthi; Tiro, Jasmin; Lee, Francesca M; Balani, Jyoti; Sarode, Ravi; Singal, Amit G; Muthukumar, Alagarraju","BACKGROUND: The persisting Coronavirus disease 2019 (COVID-19) pandemic and limited vaccine supply has led to a shift in global health priorities to expand vaccine coverage. Relying on severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) molecular testing alone cannot reveal the infection proportion, which could play a critical role in vaccination prioritization. We evaluated the utility of a combination orthogonal serological testing (COST) algorithm alongside RT-PCR to quantify prevalence with the aim of identifying candidate patient clusters to receive single and/or delayed vaccination., METHODS: We utilized 108,505 patients with suspected COVID-19 in a retrospective analysis of SARS-CoV-2 RT-PCR vs. IgG-nucleocapsid (IgGNC) antibody testing coverage in routine practice for the estimation of prevalence. Prospectively, an independent cohort of 21,388 subjects was simultaneously tested by SARS-CoV-2 RT-PCR and IgGNC to determine the prevalence. We used 614 prospective study subjects to assess the utility of COST (IgGNC, IgM-spike (IgMSP), and IgG-spike (IgGSP)) in establishing the infection proportion to identify a single-dose vaccination cohort., RESULTS: Retrospectively, we observed a 6.3% (6871/108,505) positivity for SARS-CoV-2 RT-PCR, and only 2.3% (2533/108,505) of cases had paired IgGNC serology performed. Prospectively, IgGNC serology identified twice the number of COVID-positive cases in relation to RT-PCR alone. COST further increased the number of detected positive cases: IgGNC+ or IgMSP+ (18.0%); IgGNC+ or IgGSP+ (23.5%); IgMSP+ or IgGSP+ (23.8%); and IgGNC+ or IgMSP+ or IgGSP+ (141/584 = 24.1%)., CONCLUSION: COST may be an effective tool for the evaluation of infection proportion and thus could define a cohort for a single dose and/or delayed vaccination.",2021,/,Vaccines,9,4,,,https://dx.doi.org/10.3390/vaccines9040376,33924340,#103363,Narasimhan 2021,,,1,0.950046907
Role of non-aerosols activities in the transmission of SARS-Cov-2 infection among health care workers,"Paris, Christophe; Tadie, Emilie; Heslan, Christopher; Gary-Bobo, Pierre; Oumary, Sitty; Sitruck, Anais; Wild, Pascal; Tattevin, Pierre; Thibault, Vincent; Garlantezec, Ronan","Abstract Background. Since the emergence of SARS-CoV-2, health care workers (HCWs) have been on the front line in caring for COVID-19 patients. Better knowledge of risk factors for SARS-CoV-2 infection is crucial for the prevention of disease among this population. Methods. We conducted a seroprevalence survey among HCWs in a French university hospital after the first wave (May-June 2020), based on a validated lateral flow immuno-assay test (LFIAT) for SARS-CoV-2. Demographic characteristics as well as data on the working characteristics of COVID-19 and non-COVID-19 wards and 23 care activities were systematically recorded. The effectiveness of protective equipment was also estimated, based on self-declaration of mask use. SARS-CoV-2 IgG status was modelled by multiple imputations approach, accounting for the performance of the test and data on serum validation ELISA immunoassay. Findings. Among the 3,234 enrolled HCWs, the prevalence of SARS-CoV-2 IgG was 3.8%. Contact with relatives or HCWs who developed COVID-19 were risk factors for SARS-CoV-2 infection, but not contact with COVID-19 patients. In multivariate analyses, suboptimal use of protective equipment during naso-pharyngeal sampling, patient mobilisation, clinical and eye examination was associated with SARS-CoV-2 infection. In addition, patients washing and dressing and aerosol-generating procedures were risk factors for SARS-CoV-2 infection with or without self-declared appropriate use of protective equipment. Interpretation. Main routes of transmission of SARS-CoV-2 IgG among HCWs were i) contact with relatives or HCWs with COVID-19, ii) close or prolonged contact with patients, iii) aerosol-generating procedures.",2021,,,,,,PPR316600,10.1101/2021.04.22.21255922,,#104532,Paris 2021,,,1,0.942046571
Novel coronavirus seropositivity and related factors among healthcare workers at a university hospital during the prevaccination period: a cross-sectional study.,"Ogutlu, Aziz; Karabay, Oguz; Erkorkmaz, Unal; Guclu, Ertugrul; Sen, Seher; Aydin, Abdulkadir; Koroglu, Mehmet","BACKGROUND: This study aimed to investigate the specific risk factors for the transmission of novel coronavirus (SARS-CoV-2) among healthcare workers in different campuses of a university hospital and to reveal the risk factors for antibody positivity., METHODS: In this retrospective cross-sectional study, 2988 (82%) of 3620 healthcare workers in a university hospital participated. The coronavirus disease 2019 (COVID-19) antibody was investigated using serum from healthcare workers who underwent COVID-19 antibody testing. The antibody test results of the participants were evaluated based on their work campus, their profession and their workplace. The statistical significance level was p < 0.05 in all analyses., RESULTS: Of the participants in this study, 108 (3.6%) were antibody positive, and 2880 (96.4%) were negative. Antibody positivity rates were greater in nurses compared with other healthcare workers (p < 0.001). Regarding workplace, antibody positivity was greater in those working in intensive care compared to those working in other locations (p < 0.001)., CONCLUSIONS: Healthcare workers are at the highest risk of being infected with COVID-19. Those who have a higher risk of infection among healthcare workers and those working in high-risk areas should be vaccinated early and use personal protective equipment during the pandemic., TRIAL REGISTRATION: Retrospective permission was obtained from both the local ethics committee and the Turkish Ministry of Health for this study (IRB No:71522473/050.01.04/370, Date: 05.20.2020).",2021,/,Annals of clinical microbiology and antimicrobials,20,1,31,,https://dx.doi.org/10.1186/s12941-021-00436-9,33902614,#103648,Ogutlu 2021,,,1,0.682488503
From first to second wave: follow-up of the prospective Covid-19 cohort (KoCo19) in Munich (Germany),"Radon, Katja; Bakuli, Abhishek; Puetz, Peter; Le Gleut, Ronan; Guggenbuehl Noller, Jessica Michelle; Olbrich, Laura; Saathoff, Elmar; Gari, Merce; Schaelte, Yannik; Frahnow, Turid; Woelfel, Roman; Pritsch, Michael; Rothe, Camilla; Pletschette, Michel; Rubio-Acero, Raquel; Beyerl, Jessica; Metaxa, Dafni; Forster, Felix; Thiel, Verena; Castelletti, Noemi; Riess, Friedrich; Diefenbach, Maximilian; Froeschl, Guenter; Bruger, Jan Marius; Winter, Simon Michael; Frese, Jonathan Leon; Puchinger, Kerstin; Brand, Isabel; Kroidl, Inge; Wieser, Andreas; Hoelscher, Michael; Hasenauer, Jan; Fuchs, Christiane; =KoCo19 study group","<h4>Background: </h4> In the 2nd year of the Covid-19 pandemic, knowledge about the dynamics of the infection in the general population is still limited. Such information is essential for health planners, as many of those infected show no or only mild symptoms and thus, escape the surveillance system. We therefore aimed to describe the course of the pandemic in the Munich general population living in private households from April 2020 to January 2021. <h4>Methods:</h4> The KoCo19 baseline study took place from April to June 2020 including 5313 participants (age 14 years and above). From November 2020 to January 2021, we could again measure SARS-CoV-2 antibody status in 4,433 of the baseline participants (response 83%). Participants were offered a self-sampling kit to take a capillary blood sample (dry blood spot; DBS). Blood was analysed using the Elecsys(R) Anti-SARS-CoV-2 assay (Roche). Questionnaire information on socio-demographics and potential risk factors assessed at baseline was available for all participants. In addition, follow-up information on health-risk taking behaviour and number of personal contacts outside the household (N=2768) as well as leisure time activities (N=1263) were collected in summer 2020. <h4>Results:</h4> Weighted and adjusted (for specificity and sensitivity) SARS-CoV-2 sero-prevalence at follow-up was 3.6% (95% CI 2.9-4.3%) as compared to 1.8% (95% CI 1.3-3.4%) at baseline. 91% of those tested positive at baseline were also antibody-positive at follow-up. While sero-prevalence increased from early November 2021 to January 2021, no indication of geospatial clustering across the city of Munich was found, although cases clustered within households. Taking baseline result and time to follow-up into account, men and participants in the age group 20-34 years were at the highest risk of sero-positivity. In the sensitivity analyses, differences in health-risk taking behaviour, number of personal contacts and leisure time activities partly explained these differences. <h4>Conclusion:</h4> The number of citizens in Munich with SARS-CoV-2 antibodies was still below 5% during the 2nd wave of the pandemic. Antibodies remained present in the majority of baseline participants. Besides age and sex, potentially confounded by differences in behaviour, no major risk factors could be identified. Non-pharmaceutical public health measures are thus still important.",2021,,,,,,PPR318808,10.1101/2021.04.27.21256133,,#104553,Radon 2021,,,1,0.52321561
Prevalence of SARS-CoV-2 Antibodies in a Multistate Academic Medical Center.,"Carter, Rickey E; Theel, Elitza S; Breeher, Laura E; Swift, Melanie D; Van Brunt, Nathan A; Smith, Windell R; Blanchfield, Lorrie L; Daugherty, Elizabeth A; Chapital, Alyssa B; Matson, Kathleen M; Bews, Katherine A; Johnson, Patrick W; Domnick, Robert A; Joyce, Diane E; Geyer, Holly L; Granger, Dane; Hilgart, Heather R; Turgeon, Coleman T; Sanders, Karen A; Matern, Dietrich; Nassar, Aziza; Sampathkumar, Priya; Hainy, Caitlin M; Orford, Robert R; Vachon, Celine M; Didehban, Roshanak; Morice, William G; Ting, Henry H; Williams, Amy W; Gray, Richard J; Thielen, Kent R; Farrugia, Gianrico; Mayo Clinic Serology Screening Program Operations Team","OBJECTIVE: To estimate the seroprevalence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) antibodies in health care personnel., METHODS: The Mayo Clinic Serology Screening Program was created to provide a voluntary, two-stage testing program for SARS-CoV-2 antibodies to health care personnel. The first stage used a dried blood spot screening test initiated on June 15, 2020. Those participants identified as reactive were advised to have confirmatory testing via a venipuncture. Venipuncture results through August 8, 2020, were considered. Consent and authorization for testing was required to participate in the screening program. This report, which was conducted under an institutional review board-approved protocol, only includes employees who have further authorized their records for use in research., RESULTS: A total of 81,113 health care personnel were eligible for the program, and of these 29,606 participated in the screening program. A total of 4284 (14.5%) of the dried blood spot test results were ""reactive"" and warranted confirmatory testing. Confirmatory testing was completed on 4094 (95.6%) of the screen reactive with an overall seroprevalence rate of 0.60% (95% CI, 0.52% to 0.69%). Significant variation in seroprevalence was observed by region of the country and age group., CONCLUSION: The seroprevalence for SARS-CoV-2 antibodies through August 8, 2020, was found to be lower than previously reported in other health care organizations. There was an observation that seroprevalence may be associated with community disease burden. Copyright Â© 2021 Mayo Foundation for Medical Education and Research. Published by Elsevier Inc. All rights reserved.",2021,/,Mayo Clinic proceedings,96,5,1165-1174,,https://dx.doi.org/10.1016/j.mayocp.2021.03.015,33958053,#105304,Carter 2021,,,1,0.463775018
