Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Socioeconomic position and SARS-CoV-2 infections: seroepidemiological findings from a German nationwide dynamic cohort,"Hoebel, Jens; Grabka, Markus; Schröder, Carsten; Haller, Sebastian; Neuhauser, Hannelore; Wachtler, Benjamin; Schaade, Lars; Liebig, Stefan; Hövener, Claudia; Zinn, Sabine","<h4>Background</h4> Evidence on the relationship between socioeconomic position (SEP) and infections with the SARS-CoV-2 coronavirus is still limited as most of the available studies are ecological in nature. This is the first German nationwide study to examine differences in the risk of SARS-CoV-2 infections according to SEP at the individual level. <h4>Methods</h4> The ‘CORONA-MONITORING bundesweit’ (RKI-SOEP) study is a seroepidemiological survey among a dynamic cohort of the German adult population (n=15,122; October 2020 – February 2021). Dried blood samples were tested for SARS-CoV-2 antibodies and oral-nasal swabs for viral RNA. SEP was measured by education and income. Robust logistic regression was used to examine adjusted associations of SARS-CoV-2 infections with SEP. <h4>Results</h4> 288 participants were seropositive, PCR-positive, or self-reported a previous laboratory-confirmed SARS-CoV-2 infection. The adjusted odds of SARS-CoV-2 infection were 1.87-fold (95% confidence interval [CI]=1.06-3.29) higher among low-educated than highly educated adults. Evidence was weaker for income differences in infections (odds ratio=1.65; 95% CI=0.89-3.05). Highly educated adults had lower odds of undetected infection. <h4>Conclusion</h4> The results indicate an increased risk of SARS-CoV-2 infection in low-educated groups. To promote health equity in the pandemic and beyond, social determinants should be addressed more in infection protection and pandemic planning.",2021,,,,,,PPR361495,10.1101/2021.06.21.21259001,,#132351,Hoebel 2021,"",""
Analysis of nucleic acid and antibody detection results for SARS-CoV-2 infection,"Chen, Juanjuan; Niu, Zhili; Li, Huan; Tang, Dongling; Zhang, Pingan ","Background: Real-time polymerase chain reaction (RT-PCR) of virus nucleic acid test (NAT) has become the standard method to diagnose severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection. However, there are still many limitations, especially the problem of the high false negative rate. Therefore, the aim of this study was to investigate the positive rate of SARS-CoV-2 NAT and evaluate the diagnostic performance of SARS-CoV-2 IgM and IgG antibody detection in novel coronavirus infection. Method(s): A total of 10 309 suspected or high-risk cases of infection with SARS-CoV-2 in Wuhan Hubei, China, were tested for virus NAT by RT-PCR. Among those cases, 762 COVID-19 patients and 143 patients with non-COVID-19 who were tested for SARS-CoV-2 IgM and IgG during the NAT period were screened. The difference between the two test methods was analyzed using the chi-square test. Result(s): The positive rate of 10309 cases was about 36% (95% CI: 33.39%-39.67%). SARS-CoV-2 was present in various types of specimens, and alveolar lavage fluid had the highest positive rate [52.38% (95% CI: 31.02-73.74)]. The clinical sensitivity of serum SARS-CoV-2 IgM and IgG was 77.17% (588/762) and 94.88% (723/762), respectively, and the clinical specificity was 93.71% (134/143) and 90.21% (129/143). The area under the curve (AUC) of SARS-CoV-2 IgG and combination of IgG with IgM were equally larger than IgM [0.973 (95% CI: 0.964-0.983) vs 0.930 (95% CI: 0.910-0.949)]. IgG antibody had the highest specificity [100.0% (95% CI: 100.00%-100.00%)] and sensitivity [94.0% (95% CI: 92.45%-95.55%)] when detected alone or in combination with IgM antibody. The total coincidence rate of SARS-CoV-2 antibodies detection and SARS-CoV-2 NAT for the diagnosis of SARS-CoV-2 infection was 92.04% (833/905). Among the 34 SARS-CoV-2 NAT-negative patients with clinical symptoms and CT imaging features, 29 (85.29%) patients were positive for SARS-CoV-2 IgM, and 31 (91.76%) were positive for IgG. Conclusion(s): SARS-CoV-2 NAT should be considered for many types of specimens, and the combined test of SARS-CoV-2 IgM and IgG can make up for the problem of missed NAT in COVID-19 patients.Copyright © 2021 The Author(s). This is an open-access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",2021,/,Archives of Iranian Medicine,24,5,427-433,,http://dx.doi.org/10.34172/AIM.2021.61,2013276081,#131653,Chen 2021,"",""
Viral Respiratory Tract Pathogens During the COVID-19 Pandemic.,"Celebi, Ozgur; Celebi, Demet","Objective: This study aimed to report viral respiratory pathogens during the coronavirus disease 2019 (COVID-19) pandemic., Materials and Methods: Other viral pathogens were identified. COVID-19 immunoglobulin M and immunoglobulin G were detected., Results: Of the 56 samples collected from women, 2 (3.5%) were positive for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), whereas 8 (10%) of the 80 samples from men were positive for SARS-CoV-2. The number of respiratory syncytial virus-A-positive cases was 6 (10.7%) in women and 14 (17.5%) in men. Two (3.5%) of the women were positive for parainfluenza-3, and 6 of the men were positive for influenza-B. The number of human metapneumovirus (HMPV)-positive women and men was 6 (10.7%) and 6 (7.5%), respectively. Rhinovirus caused 14.2% and 10% of the cases in men and women, respectively. With a ratio of 10.7% in women and 7.5% in men; SARS-CoV-2, with a ratio of 10% in men and 3.5% in women; influenza-B, with a ratio of 7.5% in men; and parainfluenza-3 and 4, with a ratio of 3.5% in women. SARS-CoV-2 had a mean incidence rate of 7% in men and women. The antibody screening results reveal that antibody formation did not occur in 3 women among the 10 patients who were diagnosed with COVID-19, and antibody formation occurred in 2 of 7 men. Antibody formation occurred in 5 women (16.6%) and 7 men (20.5%) among the 58 patients who were positive for other respiratory tract pathogens. However, 23 (29.5%) of the blood samples collected from 78 individuals who were negative for the COVID-19 agent and other respiratory tract viral pathogens were positive for the COVID-19 antibody., Conclusion: Because the climate is colder than normal in areas settled at higher altitudes, more than one pathogens act together. In addition, respiratory infections are seen in all seasons. This causes the diseases to be fewer and milder than in other regions. ©Copyright 2021 by the Ataturk University School of Medicine - Available online at www.eurasianjmed.com.",2021,/,The Eurasian journal of medicine,53,2,123-126,,https://dx.doi.org/10.5152/eurasianjmed.2021.20459,34177295,#131674,Celebi 2021,"",""
"SARS-Co-V2 infection in never, former, and current tobacco/nicotine users: a cohort study of 4040 Egyptian healthcare workers.","Mostafa, Aya; El-Sayed, Manal H; El-Meteini, Mahmoud; Saleh, Ayman; Omar, Ashraf; Mansour, Ossama; Girgis, Samia; Hafez, Hala; Kandil, Sahar","BACKGROUND: Smoking negatively impacts COVID-19 severity and adverse outcomes. Evidence on whether smoking is associated with SARS-Co-V2 infection and having a positive test is scarce, particularly from low-and middle-income countries, where most of the world's billion smokers live. The inconsistency in relevant findings calls for study designs and analyses to account for possible confounders including background characteristics and pre-existing co-morbidities, to disentangle the specific effect of smoking. In healthcare workers (HCWs) the frequency of exposure to COVID-19 cases adds another layer of risk that was not factored in previous studies. We examined the association of HCWs' tobacco/nicotine use (never, former, and current use) with having a positive SARS-Co-V2 test result and symptoms suggestive of infection, accounting for demographics, exposures, and co-morbidities., METHODS: A prospective cohort study of 4040 healthcare workers with baseline and follow-up screening took place during April-June 2020 in 12 healthcare facilities in Cairo, Egypt. Data on demographics, tobacco/nicotine use (manufactured or roll-your-own cigarettes, waterpipe tobacco, and electronic devices), co-morbidities, symptoms, exposures, and SARS-Co-V2 investigations were analyzed. Multinomial and multivariable logistic regression analyses were performed., RESULTS: Overall, 270/4040 (6.7, 95%CI: 5.9-7.5) had positive SARS-CoV-2 tests, 479 (11.9%) were current and 79 (2.0%) were former tobacco/nicotine users. The proportion of positive tests was 7.0% (243/3482, 95%CI: 6.1-7.8) among never, 5.1% (4/79, 95%CI: 0.1-10.0) among former, and 4.8% (23/479, 95%CI: 2.9-6.7) among current users. HCWs' SARS-CoV-2 test results did not vary significantly by single/multiple or daily/non-daily tobacco/nicotine use. Compared to never users, former users were more likely to self-report a pre-existing medical condition (ORadjusted1.87, 95%CI: 1.05-3.33, p = 0.033), and to experience symptoms suggestive of COVID-19 (ORadjusted1.76, 95%CI: 1.07-2.90, p = 0.027). After adjustment, former (ORadjusted0.45, 95%CI: 0.11-1.89, p = 0.273) and current (ORadjusted0.65, 95%CI: 0.38-1.09, p = 0.101) tobacco/nicotine use was not associated with HCWs' SARS-CoV-2 positive test results., CONCLUSIONS: This is the first report on this association from low- and middle-income countries with high tobacco/nicotine use prevalence. In this HCW cohort, having a positive SARS-CoV-2 test was not associated with tobacco/nicotine use after accounting for demographics, exposures, and co-morbidities. Additional population-based studies could use such preliminary evidence to investigate this controversial association.",2021,/,BMC public health,21,1,1243,,https://dx.doi.org/10.1186/s12889-021-11290-x,34182960,#131844,Mostafa 2021,"",""
Antibody Responses to SARS-CoV-2 Following an Outbreak Among Marine Recruits With Asymptomatic or Mild Infection,"Ramos, Irene; Soares-Schanoski, Alessandra; Ge, Yongchao; Vangeti, Sindhu; Marjanovic, Nada; George, Mary-Catherine; Nair, Venugopalan D.; Smith, Gregory R.; Sealfon, Stuart C.; Goforth, Carl; Weir, Dawn L.; Pike, Brian L.; Regeimbal, James; Simons, Mark P.; Letizia, Andrew G.; Broder, Christopher C.; Laing, Eric D.; Samuels, Emily C.; Phogat, Shreshta; Meyer, Michelle; Huang, Kai; Pietzsch, Colette A.; Termini, Michael S.; Lizewski, Stephen; Lizewski, Rhonda; Mao, Weiguang; Chikina, Maria; Bukreyev, Alexander ","We investigated serological responses following a SARS-CoV-2 outbreak in spring 2020 on a US Marine recruit training base. 147 participants that were isolated during an outbreak of respiratory illness were enrolled in this study, with visits approximately 6 and 10 weeks post-outbreak (PO). This cohort is comprised of young healthy adults, ages 18-26, with a high rate of asymptomatic infection or mild symptoms, and therefore differs from previously reported longitudinal studies on humoral responses to SARS-CoV-2, which often focus on more diverse age populations and worse clinical presentation. 80.9% (119/147) of the participants presented with circulating IgG antibodies against SARS-CoV-2 spike (S) receptor-binding domain (RBD) at 6 weeks PO, of whom 97.3% (111/114) remained positive, with significantly decreased levels, at 10 weeks PO. Neutralizing activity was detected in all sera from SARS-CoV-2 IgG positive participants tested (n=38) at 6 and 10 weeks PO, without significant loss between time points. IgG and IgA antibodies against SARS-CoV-2 RBD, S1, S2, and the nucleocapsid (N) protein, as well neutralization activity, were generally comparable between those participants that had asymptomatic infection or mild disease. A multiplex assay including S proteins from SARS-CoV-2 and related zoonotic and human endemic betacoronaviruses revealed a positive correlation for polyclonal cross-reactivity to S after SARS-CoV-2 infection. Overall, young adults that experienced asymptomatic or mild SARS-CoV-2 infection developed comparable humoral responses, with no decrease in neutralizing activity at least up to 10 weeks after infection.Copyright © 2021, At least a portion of this work is authored by Carl Goforth, Dawn L. Weir, Brian L. Pike, James Regeimbal, Mark P. Simons, Michael S. Termini, Stephen Lizewski, Rhonda Lizewski, Eric D. Laing, Christopher C. Broder and Andrew G. Letizia on behalf of the U.S. Government and, as regards Goforth, Weir, Pike, Regeimbal, Simons, Termini, S. Lizewski, R. Lizewski, Laing, Broder, Letizia and the U.S. Government, is not subject to copyright protection in the United States. Foreign and other copyrights may apply.",2021,/,Frontiers in Immunology,12,"(Ramos, Soares-Schanoski, Ge, Vangeti, Marjanovic, George, Nair, Smith, Sealfon) Department of Neurology, Icahn School of Medicine at Mount Sinai, New York, NY, United States(Goforth, Weir, Pike, Regeimbal, Simons, Letizia) Naval Medical Research Center, ",681586,,http://dx.doi.org/10.3389/fimmu.2021.681586,635340431,#131396,Ramos 2021,"",""
Evaluation of the IgG antibody response to SARS CoV-2 infection and performance of a lateral flow immunoassay: cross-sectional and longitudinal analysis over 11 months.,"Robertson, Louise J; Moore, Julie S; Blighe, Kevin; Ng, Kok Yew; Quinn, Nigel; Jennings, Fergal; Warnock, Gary; Sharpe, Peter; Clarke, Mark; Maguire, Kathryn; Rainey, Sharon; Price, Ruth K; Burns, William P; Kowalczyk, Amanda M; Awuah, Agnes; McNamee, Sara E; Wallace, Gayle E; Hunter, David; Sager, Steve; Chao Shern, Connie; Nesbit, M Andrew; McLaughlin, James A D; Moore, Tara","OBJECTIVE: To evaluate the dynamics and longevity of the humoral immune response to SARS-CoV-2 infection and assess the performance of professional use of the UK-RTC AbC-19 Rapid Test lateral flow immunoassay (LFIA) for the target condition of SARS-CoV-2 spike protein IgG antibodies., DESIGN: Nationwide serological study., SETTING: Northern Ireland, UK, May 2020-February 2021., PARTICIPANTS: Plasma samples were collected from a diverse cohort of individuals from the general public (n=279), Northern Ireland healthcare workers (n=195), pre-pandemic blood donations and research studies (n=223) and through a convalescent plasma programme (n=183). Plasma donors (n=101) were followed with sequential samples over 11 months post-symptom onset., MAIN OUTCOME MEASURES: SARS-CoV-2 antibody levels in plasma samples using Roche Elecsys Anti-SARS-CoV-2 IgG/IgA/IgM, Abbott SARS-CoV-2 IgG and EuroImmun IgG SARS-CoV-2 ELISA immunoassays over time. UK-RTC AbC-19 LFIA sensitivity and specificity, estimated using a three-reference standard system to establish a characterised panel of 330 positive and 488 negative SARS-CoV-2 IgG samples., RESULTS: We detected persistence of SARS-CoV-2 IgG antibodies for up to 10 months post-infection, across a minimum of two laboratory immunoassays. On the known positive cohort, the UK-RTC AbC-19 LFIA showed a sensitivity of 97.58% (95.28% to 98.95%) and on known negatives, showed specificity of 99.59% (98.53 % to 99.95%)., CONCLUSIONS: Through comprehensive analysis of a cohort of pre-pandemic and pandemic individuals, we show detectable levels of IgG antibodies, lasting over 46 weeks when assessed by EuroImmun ELISA, providing insight to antibody levels at later time points post-infection. We show good laboratory validation performance metrics for the AbC-19 rapid test for SARS-CoV-2 spike protein IgG antibody detection in a laboratory-based setting. Copyright © Author(s) (or their employer(s)) 2021. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.",2021,/,BMJ open,11,6,e048142,,https://dx.doi.org/10.1136/bmjopen-2020-048142,34187827,#131860,Robertson 2021,"",""
Long-term monitoring of the development and extinction of IgA and IgG responses to SARS-CoV-2 infection.,"Ivanov, Andrei; Semenova, Elena","Despite the great interest of scientific community in the behavior of the human body after contact with the new coronavirus SARS-CoV-2 a long-term (more than six months) monitoring of immunological status of Covid-19 patients with varying severity degrees and of the people with a low SARS-CoV-2 viral load is practically absent. The aim of this study is a 9-month monitoring SARS-CoV-2 infection immune response development and extinction using quantitative assessment of IgA and IgG levels in the blood of healthy donors living in the context of the coronavirus pandemic and of the patients who have undergone COVID-19. The project involved 180 volunteers of whom 51 persons (28.33%) fell ill with COVID-19 during the observation period. All people who underwent Covid-19 developed a stable humoral immune response but their individual immune status had a number of features. 39.22% (20 of 51 people) of project participants diagnosed with Covid-19 showed an unusual change in plasma anti-SARS-CoV-2 IgA levels. Relatively high levels of IgA (ratio ~ 3) after recovery persisted for a long time (more than six months). In one third (17 of 51 people) of Covid-19 patients, the IgA level exceeded the IgG level. IgA antibodies appeared earlier and showed a stronger and more robust response to the SARS-CoV-2 virus than IgG. Increased levels of anti-SARS-CoV-2 IgA (ratio from 0.8 to 2.36) throughout the observation period were recorded in 28 of 180 project participants (15.56%) of whom only one person fell ill with Covid-19. This article is protected by copyright. All rights reserved. Copyright This article is protected by copyright. All rights reserved.",2021,/,Journal of medical virology,,"i9n, 7705876",,,https://dx.doi.org/10.1002/jmv.27166,34185312,#132050,Ivanov 2021,"",""
Hidden fraction of Polish population immune to SARS-CoV-2 in May 2021,"Budziar, Wiktoria; Gembara, Katarzyna; Szymczak, Aleksander; Jędruchniewicz, Natalia; Baniecki, Krzysztof; Pikies, Aleksandra; Nahorecki, Artur; Hoffmann, Agnieszka; Kardaś, Amelia; Klimek, Tomasz; Kaźmierczak, Zuzanna; Witkiewicz, Wojciech; Barczyk, Kamil; Dąbrowska, Krystyna","Population immunity (herd immunity) to SARS-CoV-2 derives from two well-defined and controlled sources: vaccinations or diagnosed and registered cases of the disease. It may however also result from asymptomatic, oligosymptomatic, or even full-blown but undiagnosed and unregistered cases from which patients recovered at home. Here we present a population screening for SARS-CoV-2 specific IgG and IgA antibodies in Polish citizens (N=501) who had never been positively diagnosed with or vaccinated against SARS-CoV-2. Serum samples were collected in Wrocław (Lower Silesia) on 15th and 22nd May 2021. Sera from hospitalized COVID-19 patients (N=22) or from vaccinated citizens (N=14) served as positive controls. Sera were tested with Microblot-Array COVID-19 IgG and IgA (quantitative) that contain specific SARS-CoV-2 antigens: NCP, RBD, Spike S2, E, ACE2, PLPro protein, and antigens for exclusion cross-reactivity with other coronaviruses: MERS-CoV, SARS-CoV, HCoV 229E Np, HCoV NL63 Np. Within the investigated population of healthy individuals who had never been positively diagnosed with or vaccinated against SARS-CoV-2, we found that 35.5% (178 out of 501) were positive for SARS-CoV-2-specific IgG and 52.3% (262 out of 501) were positive for SARS-CoV-2-specific IgA; 21.2% of the investigated population developed virus-specific IgG or IgA while being asymptomatic. Anti-RBD IgG, which represents virus-neutralizing potential, was found in 25.6% of individuals (128 out of 501). These patients, though positive for anti-SARS-CoV-2 antibodies, cannot be identified in the public health system as convalescents due to undiagnosed infections, and they are considered unaffected by SARS-CoV-2. Their contribution to population immunity against COVID-19 should however be considered in predictions and modeling of the COVID-19 pandemic. Of note, the majority of the investigated population still lacked anti-RBD IgG protection (74.4%); thus vaccination against COVID-19 is still of the most importance for controlling the pandemic.",2021,,,,,,PPR361629,10.1101/2021.06.22.21258711,,#132357,Budziar 2021,"",""
Sars-cov-2 infection detection by pcr and serologic testing in clinical practice,"Murad, Douglas; Chandrasekaran, Sukantha; Garner, Omai B.; Pillai, Ajaya; Denny, Christopher T. ","Patients with severe acute respiratory syndrome coronavirus 2 (SARSCoV- 2) can be diagnosed by PCR during acute infection or later in their clinical course by detection of virus-specific antibodies. While in theory complementary, both PCR and serologic tests have practical shortcomings. A retrospective study was performed in order to further define these limitations in a clinical context and to determine how to best utilize these tests in a coherent fashion. A total of 3,075 patients underwent both PCR and serology tests at University of California, Los Angeles (UCLA), in the study period. Among these, 2,731 (89%) had no positive tests at all, 73 (2%) had a positive PCR test and only negative serology tests, 144 (5%) had a positive serology test and only negative PCR tests, and 127 (4%) had positive PCR and serology tests. Approximately half of the patients with discordant results (i.e., PCR positive and serology negative or vice versa) had mistimed tests in reference to the course of their disease. PCR-positive patients who were asymptomatic or pregnant were less likely to generate a detectable humoral immune response to SARS-CoV-2. On a quantitative level, the log number of days between symptom onset and PCR test was positively correlated with cycle threshold (CT) values. However, there was no apparent relationship between PCR CT and serologic (arbitrary units per milliliter) results. Copyright © 2021 American Society for Microbiology.",2021,/,Journal of Clinical Microbiology,59,7,e00431-21,,http://dx.doi.org/10.1128/JCM.00431-21,2013194129,#131130,Murad 2021,"",""
SARS-CoV-2 rapid serological tests for field-based healthcare workers in homeless communities: a mixed-methods exploratory analysis.,"Mosnier, Emilie; Nevissas, Olivia; Loubiere, Sandrine; Mosnier, Marine; Bosetti, Thomas; Bottero, Julie; Roux, Perrine; Monfardini, Elisabetta; Tinland, Aurelie","Objectives: The high risk of SARS-CoV-2 transmission in homeless communities requires adapted prevention strategies for field-based healthcare workers (HCWs). Rapid serological tests (RSTs) could be an invaluable tool for HCWs to control COVID-19 transmission. This study assesses the benefits of RSTs for HCWs in Marseille, France., Study design: Mixed-methods exploratory analysis., Methods: A mixed-methods approach was used, combining quantitative and qualitative data, to prospectively analyse acceptability of RSTs, prevalence of SARS-CoV-2 antibodies and prevention behaviours in 106 HCWs from 18 non-governmental organisations (NGOs) and health or social institutions in Marseille from June 1 to July 31, 2020. For the qualitative dimension, semi-structured individual interviews were conducted with 21 HCWs from 7 of 18 NGOs and institutions., Results: Most of the 106 HCWs in the quantitative study reported better prevention measures at work than in their homes. Despite this, the majority reported that they felt unsafe at work in terms of COVID-19 infection risk. SARS-CoV-2 antibody seroprevalence among the study population was 6.1%. Only four HCWs refused to have an RST. The 21 qualitative interviews highlighted that HCWs were not afraid of RSTs or of any possible stigma associated with a positive serological status, although they were sometimes suspicious about RST validity. Downplaying their risk of infection was a coping strategy to keep both a sense of control and remain motivated at work., Conclusions: RSTs should be adopted as an additional tool in the strategy to protect both HCWs and healthcare service users. Additional follow-up of these observational findings is needed, especially with the increasing prevalence of vaccination in HCWs. Copyright © 2021 The Author(s). Published by Elsevier Ltd on behalf of The Royal Society for Public Health.",2021,/,"Public health in practice (Oxford, England)",,101774776,100154,,https://dx.doi.org/10.1016/j.puhip.2021.100154,34179858,#132146,Mosnier 2021,"",""
