Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Influence of obesity on serum levels of SARS-CoV-2-specific antibodies in COVID-19 patients.,"Frasca, Daniela; Reidy, Lisa; Cray, Carolyn; Diaz, Alain; Romero, Maria; Kahl, Kristin; Blomberg, Bonnie B","SARS-CoV-2 (Severe Acute Respiratory Syndrome Corona Virus-2), cause of COVID-19 (Coronavirus Disease of 2019), represents a significant risk to people living with pre-existing conditions associated with exacerbated inflammatory responses and consequent dysfunctional immunity. In this paper, we have evaluated the influence of obesity, a condition associated with chronic systemic inflammation, on the secretion of SARS-CoV-2-specific IgG antibodies in the blood of COVID-19 patients. Our hypothesis is that obesity is associated with reduced amounts of specific IgG antibodies. Results have confirmed our hypothesis and have shown that SARS-CoV-2 IgG antibodies are negatively associated with Body Mass Index (BMI) in COVID-19 obese patients, as expected based on the known influence of obesity on humoral immunity. Antibodies in COVID-19 obese patients are also negatively associated with serum levels of pro-inflammatory and metabolic markers of inflammaging and pulmonary inflammation, such as SAA (serum amyloid A protein), CRP (C-reactive protein), and ferritin, but positively associated with NEFA (nonesterified fatty acids). These results altogether could help to identify an inflammatory signature with strong predictive value for immune dysfunction. Inflammatory markers identified may subsequently be targeted to improve humoral immunity in individuals with obesity and in individuals with other chronic inflammatory conditions.",2021,/,PloS one,16,3,e0245424,,https://dx.doi.org/10.1371/journal.pone.0245424,33760825,#91043,Frasca 2021,"",""
Caring for caregivers: the impact of the COVID-19 pandemic on those responsible for children and adolescents with type 1 diabetes.,"Alessi, Janine; de Oliveira, Giovana Berger; Feiden, Gabriela; Schaan, Beatriz D; Telo, Gabriela Heiden","This study aimed to assess the psychological impact of the COVID-19 pandemic on guardians of children and adolescents with type 1 diabetes. An online survey was performed to assess the prevalence of pandemic-related emotional burden, mental health disorders and diabetes-specific emotional burden related to diabetes care during the COVID-19 pandemic. Caregivers of children and adolescents with diabetes under the age of 18 and caregivers of youth without diabetes for the non-diabetes group were invited to participate. For the primary outcome, mental health disorders were evaluated using the Self-Reporting Questionnaire (SRQ-20), while pandemic-related emotional burden and diabetes-specific emotional burden related to diabetes care were evaluated in different domains with specific questions. For analyses, a hierarchical testing strategy was performed. A total of 764 participants were included in the study. Regarding the pandemic period, caregivers of youth with type 1 diabetes endorsed significantly more pandemic-related emotional burden for both themselves (OR 1.67; 95% CI, 1.10 to 2.53) and for their child (OR 2.28; 95% CI, 1.54 to 3.38) when compared to the non-diabetes group. The emotional burden evaluation on different age ranges showed that the two groups were similar when the dependent youth was younger than 6 years. Moreover, a positive screening for mental health disorders during social distancing was higher in the diabetes group compared to the non-diabetes group (OR 2.43; 95% CI, 1.70 to 3.47), particularly in those aged under 12 years old. There was no difference between groups in mental health disorders among caregivers of adolescents older than 12 years. Our results allow to conclude that concern, burden and mental health disorders can be present in caregivers of youth with diabetes, and behavioral changes during the COVID-19 pandemic may enhance this situation.",2021,/,Scientific reports,11,1,6812,,https://dx.doi.org/10.1038/s41598-021-85874-3,33762633,#91021,Alessi 2021,"",""
Prevalence of SARS-CoV-2 Specific Antibodies in Asymptomatic Hemodialysis Patients.,"Etemadi, Jalal; Bordbar, Shima; Soltani-Zangbar, Mohammad Sadegh; Hajivalili, Mahsa; Aghebati-Maleki, Leili; Motavalli, Roza; Mahmoodpoor, Ata; Shahmohammadi-Farid, Sima; Abedi Azar, Sima; Niknafs, Bahram; Roshangar, Leila; Babaloo, Zohreh; Ahmadian Heris, Javad; Hosseini, Maryam; Shareghi-Oskoue, Oldouz; Parhizkar, Forough; Khosroshahi, Hamid Tayebi; Yousefi, Mehdi","Background: Since the outbreak of the new coronavirus pandemic, the importance of carrying out an infection check to prevent acquisition and transmission among end-stage renal disease patients (ESRD) under maintenance hemodialysis (MHD) has become a major concern in the health care system. Applying serology screening tests could enlighten the view with regards to disease prevalence in dialysis wards. Methods: We subjected 328 end-stage renal disease patients to maintenance hemodialysis. After dividing patients into suspicious and non-suspicious groups for COVID-19 infection based on their clinical manifestation, they were investigated for SARS-CoV-2 specific IgM and IgG screening against nucleoprotein (NP), spike protein (SP), and receptor-binding domain (RBD), utilizing our recently developed ELISA tests. Results: We found that approximately 10.1% of asymptomatically tested cases were antibody positive. Although IgG positivity showed a higher prevalence than IgM across all three virus antigen subunits, there were no significant differences among mentioned immunoglobulins of the studied groups. The most prevalent antibody was from the IgG subtype against virus nucleoprotein (NP), while the lowest prevalence was attributed to receptor-binding domain (RBD) IgM. Conclusion: High seropositive rate among asymptomatic end-stage renal disease patients, as a sample of high-risk population, reflected the importance of considering SARS-CoV-2 specific antibody screening for disease containment.",2021,/,Immunological investigations,,"gi5, 8504629",1-12,,https://dx.doi.org/10.1080/08820139.2021.1899202,33752550,#91165,Etemadi 2021,"",""
"Comparative assessment of SARS-CoV-2 serology in healthcare workers with Abbott Architect, Roche Elecsys and The Binding site ELISA immunoassays","Mohanraj, Dinesh; Whitelegg, Alison; Bicknell, Kelly; Bhole, Malini; Taylor, Lorna; Webber, Caroline","<h4>Purpose</h4> SARS-CoV-2 serology testing is key for assessing seroprevalence and antibody response post-vaccination in immunocompromised patients. Evaluation of current SARS-CoV-2 serological assays have been performed on samples from severe COVID-19 hospitalised patients. However, robust assay development requires assessment in asymptomatic and non-hospitalised individuals to determine if serological assays are sensitive to detect waning and mild antibody responses. Our study evaluated the performance characteristics between two high-throughput SARS-CoV-2 IgG nucleocapsid assays (Abbott and Roche) and The binding site (TBS) Anti-Spike IgG/A/M ELISA kit in healthcare workers. <h4>Methods</h4> 236 samples were collected from Portsmouth Hospital University NHS Trust (PHU) and The Dudley Group NHS Trust and analysed for SARS-CoV-2 serology. We derived concordance, agreement and assay performance as well as using receiver operating characteristic (ROC) curves to redefine the assay threshold of the Abbott assay. <h4>Results</h4> <h4>Result: </h4> concordance between the Abbott and TBS was 66%. Discrepant samples were analysed using the Roche assay which showed 100% agreement with the TBS assay. In samples analysed >58 days post-PCR, the sensitivity of Abbott and Roche was 100%. In samples analysed >100 days post-PCR the sensitivity of the Abbott assay dropped to 77.2% but remained at 100% for the Roche assay. A redefined Abbott threshold of 0.64 increased the sensitivity to 90% giving results similar to Roche and TBS assays <h4>Conclusion</h4> This study demonstrated Abbott assay had a lower sensitivity in comparison to TBS and Roche. Furthermore, TBS can be implemented as a viable alternative for SARS-CoV-2 serology testing where high-throughput assays are not available on site. Trial registration number and date of registration Not applicable. Trial registration number, date of registration followed by “retrospectively registered” Not applicable. Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) serology testing is key for assessing seroprevalence and antibody response post-vaccination in immunocompromised patients. Here we performed a comparison between two high-throughput nucleocapsid assays (Abbott SARS-CoV-2 IgG and Roche Elecsys Anti-SARS-CoV-2) and The Binding Site (TBS) anti-Spike IgG/A/M-SARS-CoV-2 ELISA kit. 236 samples were collected across 2 sites, Portsmouth Hospital University NHS Trust (PHU) and The Dudley Group NHS Trust. We derived concordance, agreement and assay performance as well as using receiver operating characteristic (ROC) curves to redefine the assay threshold of the Abbott assay. Result concordance between the Abbott and TBS was 66%. Discrepant samples were analysed using the Roche assay which showed 100% agreement with the TBS assay. In samples analysed >58 days post-PCR, the sensitivity of Abbott and Roche was 100%. In samples analysed >100 days post-PCR the sensitivity of the Abbott assay dropped to 77.2% but remained at 100% for the Roche assay. A redefined Abbott threshold of 0.64 increased the sensitivity to 90% giving results similar to the Roche and TBS assays. In conclusion, this study demonstrated Abbott assay had a lower sensitivity in comparison to TBS and Roche. This study established TBS can be implemented as a viable alternative for SARS-CoV-2 serology testing where high-throughput assays are not available on site. Furthermore, anti-spike assays, such as TBS, could be used to monitor vaccination responses to deduce SARS-CoV-2 population-immunity. Further optimisation studies are required to evaluate the performance characteristics of these assays which could facilitate widescale sero-epidemiological surveillance.",2021,,,,,,PPR302354,10.1101/2021.03.19.21253518,,#93030,Mohanraj 2021,"",""
Why coronavirus survives longer on impermeable than porous surfaces.,"Chatterjee, Sanghamitro; Murallidharan, Janani Srree; Agrawal, Amit; Bhardwaj, Rajneesh","Previous studies reported that the drying time of a respiratory droplet on an impermeable surface along with a residual film left on it is correlated with the coronavirus survival time. Notably, earlier virus titer measurements revealed that the survival time is surprisingly less on porous surfaces such as paper and cloth than that on impermeable surfaces. Previous studies could not capture this distinct aspect of the porous media. We demonstrate how the mass loss of a respiratory droplet and the evaporation mechanism of a thin liquid film are modified for the porous media, which leads to a faster decay of the coronavirus on such media. While diffusion-limited evaporation governs the mass loss from the bulk droplet for the impermeable surface, a much faster capillary imbibition process dominates the mass loss for the porous material. After the bulk droplet vanishes, a thin liquid film remaining on the exposed solid area serves as a medium for the virus survival. However, the thin film evaporates much faster on porous surfaces than on impermeable surfaces. The aforesaid faster film evaporation is attributed to droplet spreading due to the capillary action between the contact line and fibers present on the porous surface and the modified effective wetted area due to the voids of porous materials, which leads to an enhanced disjoining pressure within the film, thereby accelerating the film evaporation. Therefore, the porous materials are less susceptible to virus survival. The findings have been compared with the previous virus titer measurements. Copyright © 2021 Author(s).",2021,/,"Physics of fluids (Woodbury, N.Y. : 1994)",33,2,021701,,https://dx.doi.org/10.1063/5.0037924,33746485,#90909,Chatterjee 2021,"",""
A fractional-order compartmental model for the spread of the COVID-19 pandemic.,"Biala, T A; Khaliq, A Q M","We propose a time-fractional compartmental model (SEI A I S HRD) comprising of the susceptible, exposed, infected (asymptomatic and symptomatic), hospitalized, recovered and dead population for the COVID-19 pandemic. We study the properties and dynamics of the proposed model. The conditions under which the disease-free and endemic equilibrium points are asymptotically stable are discussed. Furthermore, we study the sensitivity of the parameters and use the data from Tennessee state (as a case study) to discuss identifiability of the parameters of the model. The non-negative parameters in the model are obtained by solving inverse problems with empirical data from California, Florida, Georgia, Maryland, Tennessee, Texas, Washington and Wisconsin. The basic reproduction number is seen to be slightly above the critical value of one suggesting that stricter measures such as the use of face-masks, social distancing, contact tracing, and even longer stay-at-home orders need to be enforced in order to mitigate the spread of the virus. As stay-at-home orders are rescinded in some of these states, we see that the number of cases began to increase almost immediately and may continue to rise until the end of the year 2020 unless stricter measures are taken. Copyright © 2021 Elsevier B.V. All rights reserved.",2021,/,Communications in nonlinear science & numerical simulation,98,101556844,105764,,https://dx.doi.org/10.1016/j.cnsns.2021.105764,33746459,#90907,Biala 2021,"",""
"COVID-19 outbreak among temporary foreign workers in British Columbia, March to May 2020.","Mema, Silvina; Frosst, Gillian; Hanson, Kristen; Yates, Cheryl; Anderson, Amanda; Jacobsen, Jennifer; Guinard, Caroline; Lima, America; Andersen, Tannis; Roe, Melissa","Background: During the coronavirus disease 2019 (COVID-19) pandemic, temporary foreign workers (TFWs) provided a critical role to maintaining the food supply in Canada, yet workers faced a number of challenges that made them particularly vulnerable to COVID-19. The objective of this study was to describe the epidemiological investigation and public health response to a COVID-19 outbreak among TFWs in an agricultural setting in British Columbia from March to May 2020., Methods: An outbreak was declared on March 28, 2020 following detection of two cases of COVID-19 among a group of 63 TFWs employed by a nursery and garden centre. Outbreak control measures included immediate isolation of cases, case finding via outreach screening and testing, cohorting of asymptomatic workers and enhanced cleaning and disinfection. The outbreak was declared over on May 10, 2020., Results: A total of 26 COVID-19 cases were identified among the group of TFWs; no cases were identified among local workers. Cases were primarily male (77%) with a median age of 41 years. Symptom onsets ranged from March 8 to April 9, 2020. One case required overnight hospitalization for pneumonia., Conclusion: This was the first COVID-19 community outbreak identified in British Columbia and the first COVID-19 outbreak identified among TFWs in Canada. This outbreak began prior to implementation of provincial and federal quarantine orders for international travellers. A provincial policy was later developed that requires TFWs to quarantine in government-funded accommodation prior to deployment to agricultural settings.",2021,/,Canada communicable disease report = Releve des maladies transmissibles au Canada,47,1,5-10,,https://dx.doi.org/10.14745/ccdr.v47i01a02,33746615,#90903,Mema 2021,"",""
"T-Cell and Antibody Responses to First BNT162b2 Vaccine Dose in Previously SARS-CoV-2-Infected and Infection-Naive UK Healthcare Workers: A Multicentre, Prospective, Observational Cohort Study","Angyal, Adrienn; Longet, Stephanie; Moore, Shona; Payne, Rebecca; Harding, Adam; Tipton, Tom; Rongkard, Patpong; Ali, Mohammad; Hering, Luisa; Meardon, Naomi; Austin, James; Brown, Rebecca; Skelly, Donal; Gillson, Natalie; Dobson, Sue; Cross, Andrew; Sandhar, Gurjinder; Kilby, Jonathan; Tyerman, Jessica; Nicols, Alexander; Spegarova, Jarmila; Mehta, Hema; Hornsby, Hailey; Whitham, Rachel; Conlon, Christopher; Jeffery, Katie; Goulder, Philip; Frater, John; Dold, Christina; Pace, Matthew; Ogbe, Ane; Brown, Helen; Ansari, Azim; Adland, Emily; Brown, Anthony; Chand, Meera; Shields, Adrian; Matthews, Philippa; Hopkins, Susan; Hall, Victoria Jane; James, William; Rowland-Jones, Sarah; Klenerman, Paul; Dunachie, Susanna; Richter, Alex; Duncan, Christopher; Barnes, Eleanor; Carroll, Miles; Turtle, Lance; Silva, Thushan de; =PITCH Consortium","Background: Following a single dose of BNT162b2 mRNA vaccine, higher antibody titres are observed following prior SARS-CoV-2 infection than in infection-naive individuals, but T-cell responses are less well defined. Methods: We sampled healthcare workers (HCWs) enrolled in the UK PITCH study, before and after BNT162b2 mRNA vaccination. We measured spike-specific antibody, and quantified T-cell responses by IFN&gamma; ELISpot assay and intracellular staining of peripheral blood mononuclear cells (PBMC), comparing SARS-CoV-2-na&iuml;ve individuals to those with prior infection. Findings: HCWs aged 22 to 71 years received one (n=216) or two (n=21) vaccine doses. After a single dose, the spike-specific T-cell response was six-fold higher in previously-infected vs. naive individuals (median 340 vs. 58&amp;nbsp;SFU/10&lt;sup&gt;6&lt;/sup&gt; PBMC, p&amp;lt;0.0001; fresh PBMC, n=99). The T-cell response in previously-infected individuals after one vaccine dose was equivalent to na&iuml;ve individuals receiving two vaccine doses (median 158 vs. 165 SFU/10&lt;sup&gt;6&lt;/sup&gt; PBMCs, p=0.65; cryopreserved PBMC, n=117). Anti-spike IgG levels following a single dose in those previously infected (median 512.9 antibody units/ml (AU/ml)) were 6.8-fold higher vs. na&iuml;ve individuals following one dose (median 75.0 AU/ml, p&amp;lt;0.0001) and 2.9-fold higher than na&iuml;ve individuals given two doses three weeks apart (179.9 AU/ml, p=0.03). Following vaccination, plasma from individuals with prior infection demonstrated higher &lt;i&gt;in vitro&lt;/i&gt; neutralisation of the B.1.351 variant of concern compared to naive individuals. Interpretation: Following a single BNT162b2 dose, HCWs with a prior history of SARS-CoV-2 infection have significantly higher T-cell and antibody responses than naive individuals.Funding UK Department of Health and Social Care and UK Coronavirus Immunology Consortium. Funding: UK Department of Health and Social Care and UK Coronavirus Immunology Consortium. Conflict of Interest: D.W.E. declares lecture fees from Gilead, outside the submitted work. The other authors have no conflicts of interest to declare. Ethical Approval: PITCH was recognised as a sub-study of SIREN on 2 December 2020, which was approved by the Berkshire Research Ethics Committee, Health Research 250 Authority (IRAS ID 284460, REC reference 20/SC/0230).",2021,,,,,,PPR303943,10.2139/ssrn.3812375,,#93118,Angyal 2021,"",""
[Analysis of Excess Mortality in Switzerland in 2020 before the 2nd Wave of COVID-19].,"Rousson, Valentin; Chaouch, Aziz; Bochud, Murielle","An analysis of excess mortality in Switzerland in 2020 before the 2nd wave of COVID-19 is proposed by comparing the number of deaths observed in 2020 with those of the last five years, while taking into account population growth. Three periods are identified : before, during and after the 1st wave of COVID-19. Over all these periods, a sub-mortality of -3.3 % is obtained at the national level. However, if we restrict the analysis to the period during the first wave and to the cantons most affected by the virus, we obtain an important excess mortality, up to more than 80 % in Ticino, showing that these calculations depend crucially on when, where and for whom the deaths are counted. Such an analysis will have to be repeated once the 2nd wave is over in order to estimate the overall impact of the epidemic on excess mortality in Switzerland.",2021,/,Revue medicale suisse,17,730,518-520,,,33755359,#90891,Rousson 2021,"",""
Distinct Characteristics of COVID-19 Infection in Children.,"Han, Xuejiao; Li, Xuemei; Xiao, Yinan; Yang, Ruoning; Wang, Yang; Wei, Xiawei","SARS-CoV-2, a member of the family coronaviridae, has triggered a lethal pandemic termed coronavirus disease 2019 (COVID-19). Pediatric patients, mainly from families with a cluster of infection or a history of exposure to epidemic areas, get infected via direct contacts or air-borne droplets. Children (aged below 18 years) are susceptible to COVID-19, with an average incubation period of about 6.5 days. Most cases present asymptomatic or common cold symptoms such as fever, cough, and myalgia or fatigue, which is milder than adult patients. Besides, most abnormal laboratory and radiologic findings in children with COVID-19 are non-specific. Since no specific chemotherapeutic agents have been approved for children, timely preventive methods could effectively forestall the transmission of SARS-CoV-2. To date, mostly studied cases have been adults with COVID-19, whereas data on pediatrics patients remain poorly defined. We herein conducted a literature review for papers published in PubMed and medRxiv (preprints) between December 2019 and December 2020 that reported on pediatrics patients (aged below 18 years) with a confirmed COVID-19 diagnosis. In this review, we summarized and discussed the pathogenesis, epidemiology, and clinical management of COVID-19 in pediatrics patients to improve our understanding of this new disease in children. Copyright © 2021 Han, Li, Xiao, Yang, Wang and Wei.",2021,/,Frontiers in pediatrics,9,101615492,619738,,https://dx.doi.org/10.3389/fped.2021.619738,33748041,#90925,Han 2021,"",""
