Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
[Diagnostics and seroprevalence of SARS-CoV-2 in children : season 2].,"Asner, Sandra A; Posfay-Barbe, Klara M","Some uncertainties remain regarding SARS-CoV-2 diagnostic procedures and seroprevalence studies in children. RT-PCR assays conducted on nasopharyngeal (NP) swabs remain the gold standard for SARS-CoV-2 diagnostic in children as in adults. Saliva samples might replace soon NP swabs as similar sensitivities have been reported from both samples in adults, but not yet in children. Rapid antigen testing is currently performed on NP swabs collected from children within 4 days of their symptom onset. Serology testing is an essential diagnostic tool in seroprevalence studies, which might guide in the future public health decisions.",2021,/,Revue medicale suisse,17,726,340-343,,,33599409,#81213,Asner 2021,"Exclusion reason: Wrong study design (anything other than cross sectional, repeated cross sectional, or cohort) ; ",""
Longitudinal serology in SARS-CoV-2 infected individuals in India – a prospective cohort study,"Thiruvengadam, Ramachandran; Chattopadhyay, Souvick; Mehdi, Farha; Desiraju, Bapu Koundinya; Chaudhuri, Susmita; Singh, Savita; Bhartia, Vandita; Kshetrapal, Pallavi; Natchu, Uma Chandra Mouli; Wadhwa, Nitya; Sopory, Shailaja; Wahi, Mudita; Pandey, Anil; Das, Asim; Anand, Nidhi; Sharma, Nandini; Sharma, Pragya; Saxena, Sonal; Sindhu, Deepa; Sindhu, Brahmdeep; Sharma, Dharmendra; Dang, Navin; Batra, Gaurav; Kang, Gagandeep; Bhatnagar, Shinjini; =for DBT India Consortium for COVID-19 Research","Clinical and epidemiological characteristics of SARS-CoV-2 infection are now widely available, but there are few data on longitudinal serology in large cohorts, particularly from low-and middle-income countries. We established an ongoing prospective cohort of 3840 SARS-CoV-2 RT-PCR positive individuals in the Delhi-National Capital Region of India, to document clinical and immunological characteristics during illness and convalescence. The IgG responses to the receptor binding domain (RBD) and nucleocapsid were assessed at 0-7, 10-28 days and 6-10 weeks after infection. The clinical predictors of seroconversion were identified by multivariable regression analysis. The seroconversion rates in the post-infection windows of 0–7 days, 10–28 days and 6–10 weeks were 46%, 84.7% and 85.3% respectively (n=782). The proportion with a serological response increased with severity of COVID-19 disease. All participants with severe disease, 89.6% with mild to moderate infection and 77.3% of asymptomatic participants had IgG antibodies to the RBD antigen. The threshold values in the nasopharyngeal viral RNA RT-PCR in a subset of asymptomatic and symptomatic seroconverters were comparable (p value: 0.48), with similar results among non-seroconverters (p value: 0.16) (n=169). This is the first report of longitudinal humoral immune responses to SARS-CoV-2 infection over a period of ten weeks from South Asia. The low seropositivity in asymptomatic participants and differences between assays highlight the importance of contextualizing the understanding of population serosurveys. <h4>Summary</h4> We measured anti-SARS-CoV-2 RBD and NC protein IgG in a multi-hospital-based prospective cohort from northern India up to ten weeks post-infection. The lower seroconversion rate among asymptomatic RT-PCR positive participants has public health significance particularly for interpreting community seroprevalence estimates.",2021,,,,,,PPR279544,10.1101/2021.02.04.21251140,,#80604,Thiruvengadam 2021,Exclusion reason: People with confirmed/suspect covid-19 + no subgroups; ,""
Prevalence of SARS-CoV-2 Infection in Children without Symptoms of Coronavirus Disease 2019,Sola A.M.; David A.P.; Rosbe K.W.; Baba A.; Ramirez-Avila L.; Chan D.K. ,,2021,/,JAMA Pediatrics,175,2,198-201,,http://dx.doi.org/10.1001/jamapediatrics.2020.4095,632765818,#79630,Sola 2021,Exclusion reason:  No serological antibody testing ; ,""
Characteristics of COVID-19 Patients Based on the Results of Nucleic Acid and Specific Antibodies and the Clinical Relevance of Antibody Levels,"Chen, H.; Qin, R. D.; Huang, Z. F.; He, L.; Luo, W. T.; Zheng, P. Y.; Huang, H. M.; Wang, H.; Sun, B. Q.","Combination of nucleic acid and specific antibody testing is often required in the diagnosis of COVID-19, but whether patients with different nucleic acid and antibody results have different laboratory parameters, severities and clinical outcomes, has not yet been comprehensively investigated. Thus, according to different groups of nucleic acid and antibody results, we aimed to investigate the differences in demographic characteristics, and laboratory parameters among the different groups and predict their clinical outcomes. In our study, nasopharyngeal swab nucleic acids and antibodies were detected by reverse-transcription polymerase chain reaction and chemiluminescence, respectively. Patients with confirmed COVID-19 with different severities, were divided into the PCR(+)Ab(+), PCR(+)Ab(-), and PCR(-)Ab(+) groups. Demographic characteristics, symptoms, comorbidities, laboratory parameters, and clinical outcomes were compared among the three groups. The correlation of antibodies with laboratory parameters and clinical outcomes was also explored, and antibodies were used to predict the timing of nucleic acid conversion. We found that a total of 364 COVID-19 patients were included in the final analysis. Of these, a total of 184, 37, and 143 patients were assigned to the PCR(+)Ab(+), PCR(+)Ab(-), and PCR(-)Ab(+) groups, respectively. Compared to patients in the PCR(+)Ab(-) or PCR- Ab(+) groups, patients in the PCR(+)Ab(+) group presented worse symptoms, more comorbidities, more laboratory abnormalities, and worse clinical outcomes (P < 0.05). In addition, the levels of IgG, IgM, and IgA were all significantly correlated with the days of hospitalization, days of PCR turning negative, and multiple laboratory parameters (P < 0.05). Meanwhile, combined IgM, IgA, and IgG predicted the days of PCR turning negative within 1 week. The best performance was achieved when the cut-off values of IgM, IgG, and IgA were 3.2, 1.8 and 0.5, respectively, with a sensitivity of 73% and specificity of 82%. In conclusion, COVID-19 patients who were both positive for nucleic acids and antibodies presented with worse clinical features, laboratory abnormalities, and clinical outcomes. The three specific antibodies were positively correlated with clinical outcomes and most laboratory parameters. Furthermore, antibody levels can predict the time of nucleic acid conversion.",2021,Jan,Frontiers in Molecular Biosciences,7,,,WOS:000611973400001,10.3389/fmolb.2020.605862,,#82697,Chen 2021,Exclusion reason: People with confirmed/suspect covid-19 + no subgroups; ,""
Are SARS-CoV-2 IgA antibodies in paediatric patients with chilblain-like lesions indicative of COVID-19 asymptomatic or paucisymptomatic infection?,"Diociaiuti, A.; Giancristoforo, S.; Terreri, S.; Corbeddu, M.; Concato, C.; Atti, M. C. D.; Zambruno, G.; Carsetti, R.; El Hachem, M.",,2021,Jan,Journal of the European Academy of Dermatology and Venereology,35,1,E10-E13,WOS:000607303300009,10.1111/jdv.16934,,#81025,Diociaiuti 2021,Exclusion reason: People with confirmed/suspect covid-19 + no subgroups; ,""
"PREVALENCE OF COVID-19 IN ASYMPTOMATIC HEALTHY RESIDENTS OF BORDER QUARANTINE FACILITIES IN DISTRICT KHYBER, KHYBER PAKHTUNKHWA, PAKISTAN","Imran, M.; Uddin, A.; Khan, S.; Wahab, A.; Akbar, H.; Ambade, P.",,2021,Jan,Respirology,26,,5-6,WOS:000612202800003,,,#80955,Imran 2021,Exclusion reason:  No serological antibody testing ; ,""
Estimates of anti-SARS-CoV-2 antibody seroprevalence in Iran - Authors' reply.,"Darvishian, Maryam; Sharafkhah, Maryam; Poustchi, Hossein; Malekzadeh, Reza",,2021,/,The Lancet. Infectious diseases,,101130150,,,https://dx.doi.org/10.1016/S1473-3099(21)00058-X,33600756,#81452,Darvishian 2021,"Exclusion reason: Wrong study design (anything other than cross sectional, repeated cross sectional, or cohort) ; ",""
Rapid community point-of-care testing for COVID-19 (RAPTOR-C19): protocol for a platform diagnostic study.,"Nicholson, Brian D; Hayward, Gail; Turner, Philip J; Lee, Joseph J; Deeks, Alexandra; Logan, Mary; Moore, Abigail; Seeley, Anna; Fanshawe, Thomas; Oke, Jason; Koshiaris, Constantinos; Sheppard, James P; Hoang, Uy; Parimalanathan, Vaishnavi; Edwards, George; Liyange, Harshana; Sherlock, Julian; Byford, Rachel; Zambon, Maria; Ellis, Joanna; Bernal, Jamie Lopez; Amirthalingam, Gayatri; Linley, Ezra; Borrow, Ray; Howsam, Gary; Baines, Sophie; Ferreira, Filipa; de Lusignan, Simon; Perera, Rafael; Hobbs, F D Richard","BACKGROUND: The aim of RApid community Point-of-care Testing fOR COVID-19 (RAPTOR-C19) is to assess the diagnostic accuracy of multiple current and emerging point-of-care tests (POCTs) for active and past SARS-CoV2 infection in the community setting. RAPTOR-C19 will provide the community testbed to the COVID-19 National DiagnOstic Research and Evaluation Platform (CONDOR)., METHODS: RAPTOR-C19 incorporates a series of prospective observational parallel diagnostic accuracy studies of SARS-CoV2 POCTs against laboratory and composite reference standards in patients with suspected current or past SARS-CoV2 infection attending community settings. Adults and children with suspected current SARS-CoV2 infection who are having an oropharyngeal/nasopharyngeal (OP/NP) swab for laboratory SARS-CoV2 reverse transcriptase Digital/Real-Time Polymerase Chain Reaction (d/rRT-PCR) as part of clinical care or community-based testing will be invited to participate. Adults (>= 16 years) with suspected past symptomatic infection will also be recruited. Asymptomatic individuals will not be eligible. At the baseline visit, all participants will be asked to submit samples for at least one candidate point-of-care test (POCT) being evaluated (index test/s) as well as an OP/NP swab for laboratory SARS-CoV2 RT-PCR performed by Public Health England (PHE) (reference standard for current infection). Adults will also be asked for a blood sample for laboratory SARS-CoV-2 antibody testing by PHE (reference standard for past infection), where feasible adults will be invited to attend a second visit at 28 days for repeat antibody testing. Additional study data (e.g. demographics, symptoms, observations, household contacts) will be captured electronically. Sensitivity, specificity, positive, and negative predictive values for each POCT will be calculated with exact 95% confidence intervals when compared to the reference standard. POCTs will also be compared to composite reference standards constructed using paired antibody test results, patient reported outcomes, linked electronic health records for outcomes related to COVID-19 such as hospitalisation or death, and other test results., DISCUSSION: High-performing POCTs for community use could be transformational. Real-time results could lead to personal and public health impacts such as reducing onward household transmission of SARS-CoV2 infection, improving surveillance of health and social care staff, contributing to accurate prevalence estimates, and understanding of SARS-CoV2 transmission dynamics in the population. In contrast, poorly performing POCTs could have negative effects, so it is necessary to undertake community-based diagnostic accuracy evaluations before rolling these out., TRIAL REGISTRATION: ISRCTN, ISRCTN14226970.",2021,/,Diagnostic and prognostic research,5,1,4,,https://dx.doi.org/10.1186/s41512-021-00093-8,33557927,#79017,Nicholson 2021,"Exclusion reason: Wrong study design (anything other than cross sectional, repeated cross sectional, or cohort) ; ",""
"Antibodies, epicenter of SARS-CoV-2 immunology.","Pecetta, Simone; Pizza, Mariagrazia; Sala, Claudia; Andreano, Emanuele; Pileri, Piero; Troisi, Marco; Pantano, Elisa; Manganaro, Noemi; Rappuoli, Rino",,2021,/,Cell death and differentiation,,"c7u, 9437445",,,https://dx.doi.org/10.1038/s41418-020-00711-w,33500559,#75989,Pecetta 2021,Exclusion reason:  No serological antibody testing ; ,""
SARS-CoV-2 specific antibody and neutralization assays reveal the wide range of the humoral immune response to virus.,"Dogan, Mikail; Kozhaya, Lina; Placek, Lindsey; Gunter, Courtney; Yigit, Mesut; Hardy, Rachel; Plassmeyer, Matthew; Coatney, Paige; Lillard, Kimberleigh; Bukhari, Zaheer; Kleinberg, Michael; Hayes, Chelsea; Arditi, Moshe; Klapper, Ellen; Merin, Noah; Liang, Bruce Tsan-Tang; Gupta, Raavi; Alpan, Oral; Unutmaz, Derya","Development of antibody protection during SARS-CoV-2 infection is a pressing question for public health and for vaccine development. We developed highly sensitive SARS-CoV-2-specific antibody and neutralization assays. SARS-CoV-2 Spike protein or Nucleocapsid protein specific IgG antibodies at titers more than 1:100,000 were detectable in all PCR+ subjects (n = 115) and were absent in the negative controls. Other isotype antibodies (IgA, IgG1-4) were also detected. SARS-CoV-2 neutralization was determined in COVID-19 and convalescent plasma at up to 10,000-fold dilution, using Spike protein pseudotyped lentiviruses, which were also blocked by neutralizing antibodies (NAbs). Hospitalized patients had up to 3000-fold higher antibody and neutralization titers compared to outpatients or convalescent plasma donors. Interestingly, some COVID-19 patients also possessed NAbs against SARS-CoV Spike protein pseudovirus. Together these results demonstrate the high specificity and sensitivity of our assays, which may impact understanding the quality or duration of the antibody response during COVID-19 and in determining the effectiveness of potential vaccines.",2021,/,Communications biology,4,1,129,,https://dx.doi.org/10.1038/s42003-021-01649-6,33514825,#75787,Dogan 2021,"Exclusion reason: Wrong study design (anything other than cross sectional, repeated cross sectional, or cohort) ; ",""
