Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"High Rates of SARS-CoV-2 Family Transmission in Children of Healthcare Workers During the First Pandemic Wave in Madrid, Spain: Serologic Study.","Mendez-Echevarria, Ana; Sainz, Talia; de Felipe, Beatriz; Alcolea, Sonia; Olbrich, Peter; Goycochea-Valdivia, Walter A; Escosa-Garcia, Luis; Cobo, Lorena; Calvo, Cristina; Neth, Olaf","BACKGROUND: Data on SARS-CoV-2 transmission among children living with healthcare workers (HCWs) are scarce., METHODS: A cross-sectional study was performed at a tertiary Hospital in Madrid, including children of HCW who suffered from SARS-CoV-2 infection between March and May 2020. Children underwent enzyme-linked immunosorbent serological study for detecting SARS-CoV-2 antibodies: VIRCELL IgG assay., RESULTS: One hundred thirteen children from 69 HCWs with confirmed SARS-CoV-2 infection were recruited: 47 children had positive IgG (41.6%). Children secondary attack rate was 43.7% (25% if both parents have had asymptomatic infection; 39.5% if one parent was symptomatic; and 47% when both parents had symptoms). Having a positive sibling was associated with a positive IgG result (odds ratio = 12.2; 95% confidence interval: 4.4-33.7, P < 0.001). Median age was higher in IgG positive children (P = 0.022). Children who referred anosmia presented higher IgG titles (P < 0.04)., CONCLUSIONS: We observed a very high SARS-CoV-2 transmission in children of HCW during the first pandemic wave, especially when both parents were symptomatic. Having a positive sibling was associated with seroconversion, supporting the important role of family clusters in the transmission of SARS-CoV-2. Copyright © 2021 Wolters Kluwer Health, Inc. All rights reserved.",2021,/,The Pediatric infectious disease journal,,"oxj, 8701858",,,https://dx.doi.org/10.1097/INF.0000000000003088,33591078,#81326,Mendez-Echevarria 2021,"",""
Serological Profile of Children and Young Adults with at Least One SARS-CoV-2 Positive Cohabitant: An Observational Study.,"Farronato, Marco; Dolci, Carolina; Boccalari, Elisa; Izadi, Sara; Salvatierra Rios, Luis Hernan; Festa, Maurizio; Panetta, Valentina; De Vito, Danila; Tartaglia, Gianluca Martino","At the end of 2019, a new disease caused by the novel coronavirus SARS-CoV-2 appeared in Wuhan Province in China. Children seemed to be infected less frequently than adults, and family clusters seemed to play an important role in the spread of the pandemic. The aim of this study is to evaluate the serological profile of children and young adults between 4 and 16 years of age in order to assess the transmission patterns of COVID-19 between cohabitants. The subjects lived with at least one cohabitant who tested positive for the disease using a nasopharyngeal swab. To avoid contact with the disease, families were interviewed by telephone. Forty-nine children and adolescents with a mean age of 11 years were then subjected to a rapid lateral flow chromatographic test. Of them, seven (14.3%) were immunoglobulin G (IgG)-positive, and four (8.2%) were immunoglobulin M (IgM)-positive. In total, 16.3% of the tested sample had antibodies against SARS-CoV-2: this may confirm the lower vulnerability of children to COVID-19, despite the small sample size. The time from the negativization of the cohabitant until the test day may have influenced the results, especially when this timeframe is wide.",2021,/,International journal of environmental research and public health,18,4,,,https://dx.doi.org/10.3390/ijerph18041488,33557402,#78959,Farronato 2021,"",""
Prevalence and Outcomes of SARS-CoV-2 Infection Among Migrant Workers in Singapore.,"Tan, Iain Beehuat; Tan, Clive; Hsu, Li Yang; Dan, Yock Young; Aw, Andrew; Cook, Alex R; Lee, Vernon J",,2021,/,JAMA,325,6,584-585,,https://dx.doi.org/10.1001/jama.2020.24071,33560312,#78995,Tan 2021,"",""
Corona in Children: the Co-Ki Study: Relevance of SARS-CoV-2 in outpatient pediatric services in Germany,Schwarz S.; Jenetzky E.; Krafft H.; Maurer T.; Steuber C.; Reckert T.; Fischbach T.; Martin D. ,"Background: In Germany over 80% of children and adolescents are in the ambulatory care of registered pediatricians. These have a specific perspective on the COVID-19 pandemic. Method(s): For this reason, this professional group initiated a central recording of case numbers, individual case descriptions and observations on infections and illnesses with SARS-CoV-2 (www.co-ki.de). Result(s): So far 557 pediatricians have participated. Together they care for ca. 670,000 children. They reported 9803 children who presented as suspected cases. The pediatricians themselves had a clinical suspicion of SARS-CoV-2 infections in 3654 children. In 7707 children PCR tests were carried out using nose/throat swabs of which 198 (2.6%) were positive. In addition, 731 children were tested for SARS-CoV-2 antibodies with detection in 82 cases (11.2%). Despite initially positive PCR tests, 47 children had a negative antibody test at least 2 weeks later. Our query as to infections of adults by children yielded only one case, which a telephone enquiry revealed as unlikely. Discussion(s): From an outpatient pediatric perspective COVID-19 is rare. There was no convincing evidence that children are a relevant source of infection for SARS-CoV-2 nor that they are relevantly at risk.Copyright © 2020, The Author(s).",2021,/,Monatsschrift fur Kinderheilkunde,169,1,39-45,,http://dx.doi.org/10.1007/s00112-020-01050-3,2007150045,#80472,Schwarz 2021,"",""
Seroprevalence of antibodies to SARS-CoV-2 in healthcare workers: a cross-sectional study.,"Ebinger, Joseph E; Botwin, Gregory J; Albert, Christine M; Alotaibi, Mona; Arditi, Moshe; Berg, Anders H; Binek, Aleksandra; Botting, Patrick; Fert-Bober, Justyna; Figueiredo, Jane C; Grein, Jonathan D; Hasan, Wohaib; Henglin, Mir; Hussain, Shehnaz K; Jain, Mohit; Joung, Sandy; Karin, Michael; Kim, Elizabeth H; Li, Dalin; Liu, Yunxian; Luong, Eric; McGovern, Dermot P B; Merchant, Akil; Merin, Noah; Miles, Peggy B; Minissian, Margo; Nguyen, Trevor Trung; Raedschelders, Koen; Rashid, Mohamad A; Riera, Celine E; Riggs, Richard V; Sharma, Sonia; Sternbach, Sarah; Sun, Nancy; Tourtellotte, Warren G; Van Eyk, Jennifer E; Sobhani, Kimia; Braun, Jonathan G; Cheng, Susan","OBJECTIVE: We sought to determine the extent of SARS-CoV-2 seroprevalence and the factors associated with seroprevalence across a diverse cohort of healthcare workers., DESIGN: Observational cohort study of healthcare workers, including SARS-CoV-2 serology testing and participant questionnaires., SETTINGS: A multisite healthcare delivery system located in Los Angeles County., PARTICIPANTS: A diverse and unselected population of adults (n=6062) employed in a multisite healthcare delivery system located in Los Angeles County, including individuals with direct patient contact and others with non-patient-oriented work functions., MAIN OUTCOMES: Using Bayesian and multivariate analyses, we estimated seroprevalence and factors associated with seropositivity and antibody levels, including pre-existing demographic and clinical characteristics; potential COVID-19 illness-related exposures; and symptoms consistent with COVID-19 infection., RESULTS: We observed a seroprevalence rate of 4.1%, with anosmia as the most prominently associated self-reported symptom (OR 11.04, p<0.001) in addition to fever (OR 2.02, p=0.002) and myalgias (OR 1.65, p=0.035). After adjusting for potential confounders, seroprevalence was also associated with Hispanic ethnicity (OR 1.98, p=0.001) and African-American race (OR 2.02, p=0.027) as well as contact with a COVID-19-diagnosed individual in the household (OR 5.73, p<0.001) or clinical work setting (OR 1.76, p=0.002). Importantly, African-American race and Hispanic ethnicity were associated with antibody positivity even after adjusting for personal COVID-19 diagnosis status, suggesting the contribution of unmeasured structural or societal factors., CONCLUSION AND RELEVANCE: The demographic factors associated with SARS-CoV-2 seroprevalence among our healthcare workers underscore the importance of exposure sources beyond the workplace. The size and diversity of our study population, combined with robust survey and modelling techniques, provide a vibrant picture of the demographic factors, exposures and symptoms that can identify individuals with susceptibility as well as potential to mount an immune response to COVID-19. Copyright © Author(s) (or their employer(s)) 2021. Re-use permitted under CC BY. Published by BMJ.",2021,/,BMJ open,11,2,e043584,,https://dx.doi.org/10.1136/bmjopen-2020-043584,33579769,#81184,Ebinger 2021,"",""
"Seroepidemiological Survey of the Antibody for Severe Acute Respiratory Syndrome Coronavirus 2 with Neutralizing Activity at Hospitals: A Cross-sectional Study in Hyogo Prefecture, Japan.","Furukawa, Koichi; Arii, Jun; Nishimura, Mitsuhiro; Tjan, Lidya Handayani; Lystia Poetranto, Anna; Ren, Zhenxiao; Aktar, Salma; Huang, Jing Rin; Sutandhio, Silvia; Kurahashi, Yukiya; Nishino, Arisa; Shigekuni, Shiho; Takeda, Yuichiro; Uto, Kenichi; Matsui, Keiji; Sato, Itsuko; Inui, Yoshiaki; Endo, Kazuo; Kosaka, Yoshiyuki; Oota, Toshiaki; Saegusa, Jun; Mori, Yasuko","Introduction: The coronavirus disease 2019 (COVID-19) pandemic is spreading rapidly all over the world. The Japanese government lifted the state of emergency, announced in April 2020, on May 25, but there are still sporadic clusters. Asymptomatic patients who can transmit severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) cause some of these clusters. It is thus urgent to investigate the seroprevalence of antibodies against SARS-CoV-2 and their neutralizing activity. We conducted a cross-sectional study of >10,000 samples at hospitals in Hyogo Prefecture, Japan., Methods: Between August 6 and October 1, 2020, we collected samples of residual blood from the patients who visited or were admitted to five hospitals and a foundation in Hyogo. We tested the samples for antibodies against SARS-CoV-2 by electrochemiluminescence immunoassay (ECLIA) and chemiluminescent enzyme immunoassay (CLEIA). Sera that were positive by ECLIA or CLEIA were analyzed by an immunochromatographic (IC) test and neutralizing activity assay., Results: We tested 10,377 samples from patients aged between 0 and 99 years old; 27 cases (0.26%) were positive on the ECLIA, and 51 cases (0.49%) were positive on CLEIA. In the 14 cases that tested positive on both ECLIA and CLEIA, the positive rates on the IC test and for neutralizing activity were high (85% and 92%, respectively). In 50 cases (0.48%) that were positive by either ECLIA or CLEIA, the corresponding rates were low (20% and 6%, respectively). The positive rate of neutralizing antibody was 0.15%., Conclusions: These results indicate that most Hyogo Prefecture residents still do not have antibodies and should avoid the risk of incurring a SARS-CoV-2 infection. Two or more antibody tests should be required for seroepidemiological studies of the antibody for SARS-CoV-2, and a neutralizing activity assay is also essential. Copyright © Japan Medical Association.",2021,/,JMA journal,4,1,41-49,,https://dx.doi.org/10.31662/jmaj.2020-0094,33575502,#79105,Furukawa 2021,"",""
SARS-CoV-2 Seroprevalence in a University Community: A Longitudinal Study of the Impact of Student Return to Campus on Infection Risk Among Community Members,"Arnold, Callum; Srinivasan, Sreenidhi; Herzog, Catherine; Gontu, Abhinay; Bharti, Nita; Small, Meg; Rogers, Connie; Schade, Margeaux; Kuchipudi, Suresh; Kapur, Vivek; Andrew, Read; Ferrari, Matthew","<h4>Background: </h4> Returning university students represent large-scale, transient demographic shifts and a potential source of transmission to adjacent communities during the COVID-19 pandemic. Methods In this prospective longitudinal cohort study, we tested for IgG antibodies against SARS-CoV-2 in a non-random cohort of residents living in Centre County prior to the Fall 2020 term at the Pennsylvania State University and following the conclusion of the Fall 2020 term. We also report the seroprevalence in a non-random cohort of students collected at the end of the Fall 2020 term. Findings Of 345 community participants, 19 (5.5%) were positive for SARS-CoV-2 IgG antibodies at their first visit between 7 August and 2 October. Of 625 student participants who returned to campus for fall instruction, 195 (31.2%) were positive for SARS-CoV-2 antibodies between 26 October and 23 November. Twenty-eight (8.1%) community participants returned a positive IgG antibody result by 9 December. Only contact with known SARS-CoV-2-positive individuals and attendance at small gatherings (20-50 individuals) were significant predictors of detecting IgG antibodies among returning students (aOR, 95% CI: 3.24, 2.14-4.91; 1.62, 1.08-2.44; respectively). Interpretation Despite high seroprevalence observed within the student population, seroprevalence in a longitudinal cohort of community residents was low and stable from before student arrival for the Fall 2020 term to after student departure. The study implies that heterogeneity in SARS-CoV-2 transmission can occur in geographically coincident populations. Funding The Pennsylvania State University Office of the Provost, Social Science Research Institute, Huck Institute for the Life Sciences, and Clinical and Translational Science Institute; National Institutes of Health.",2021,,,,,,PPR285618,10.1101/2021.02.17.21251942,,#82291,Arnold 2021,"",""
"Racial and Workplace Disparities in Seroprevalence of SARS-CoV-2, Baton Rouge, Louisiana, USA","Feehan, A. K.; Velasco, C.; Fort, D.; Burton, J. H.; Price-Haywood, E. G.; Katzmarzyk, P. T.; Garcia-Diaz, J.; Seoane, L.","By using paired molecular and antibody testing for severe acute respiratory syndrome coronavirus 2 infection, we determined point prevalence and seroprevalence in Louisiana, USA, during the second phase of reopening. Infections were highly variable by race and ethnicity, work environment, and ZIP code. Census-weighted seroprevalence was 3.6%, and point prevalence was 3.0%.",2021,Jan,Emerging Infectious Diseases,27,1,314-317,WOS:000609135300048,10.3201/eid2701.203808,,#81004,Feehan 2021,"",""
Surveillance of SARS-CoV-2 Antibody of Patients in Local Affected Area During the Lockdown,"Tang, Yueting; Sun, Jiayu; yuan, yumeng; Yao, Fen; zheng, Bokun; Yang, Gui; Xie, Wen; Ye, Guangming; Li, Zhen; jiao, xiaoyang; Li, Yirong","<h4>Background: </h4> Serosurvalence is crucial in estimating the range of SARS-CoV-2 infections, predicting the possibility of another wave, and decide on a vaccination strategy. To understand the herd immunity after the COVID-19 pandemic, the seroprevalence was measured in 3062 individuals with or without COVID-19. <h4>Methods: </h4> The levels of SARS-CoV-2 antibody IgM and IgG were measured by the immuno-colloidal gold method. <h4>Results: </h4>: The mean seroprevalence for IgM and IgG in all participants was 2.81% and 7.51%, respectively. The positive rate of IgG was significantly higher in women than in men (P<0.05). The highest positive rate of IgM was observed in 41-60 years of age (3.49%), while the highest seroprevalence for IgG was observed in persons >60 years of age (8.61%). The positive rates of IgM and IgG in the convalescent patients were 31.82% and 77.27%, respectively, which was significantly higher than individuals with suspected syndromes or individuals without any clinical signs (P<0.01). Seroprevalence for IgG in medical staff was markedly higher than those in residents. The seroprevalence in patients with various comorbidity was no significant difference (P>0.05). <h4>Conclusions: </h4> The low positive rate of the SARS-CoV-2 IgM and NA test indicated that the SARS-CoV-2 outbreak is subsiding after three months, and the possibility of reintroduction of the virus from an unidentified natural reservoir is low. Seroprevalence provides the information for humoral immunity and vaccine in the future.",2021,,,,,,PPR285979,10.21203/rs.3.rs-251832/v1,,#82311,Tang 2021,"",""
Seroprevalence of antibodies to SARS-CoV-2 among blood donors in the early months of the pandemic in Saudi Arabia,Banjar A.; Al-Tawfiq J.A.; Alruwaily A.; Alserehi H.; Al-Qunaibet A.; Alaswad R.; Almutlaq H.; Almudaiheem A.; Khojah A.T.; Alsaif F.; Almolad S.K.; Alqahtani S.; AlJurayyan A.; Alotaibi A.; Almalki S.; Abuhaimed Y.; Alkhashan A.; Alfaifi A.; Alabdulkareem K.; Jokhdar H.; Assiri A.; Almudarra S. ,"Background: Serologic testing provides better understanding of SARS-CoV-2 prevalence and its transmission. This study was an investigation of the prevalence of antibodies to SARS-CoV-2 among blood donors in Saudi Arabia. Objective(s): To estimate the seroprevalence of anti-SARS-CoV-2 antibodies among blood donors in Saudi Arabia during the early phase of the COVID-19 pandemic. Method(s): Serology results and epidemiological data were analyzed for 837 adult blood donors, with no confirmed SARS-CoV-2 infection, in Saudi Arabia from 20th to 25th May 2020. Seroprevalence was determined using electrochemical immunoassay to detect anti-SARS-CoV-2 antibodies. Result(s): The overall seroprevalence of anti-SARS-CoV-2 antibodies was 1.4% (12/837). Non-citizens had higher seroprevalence compared with citizens (OR 13.6, p = 0.001). Secondary education was significantly associated with higher seroprevalence compared with higher education (OR 6.8, p = 0.005). The data showed that the highest seroprevalence was in Makkah (8.1%). Uisng Makkah seroprevalence as the reference, the seroprevalence in other areas was: Madinah 4.1% (OR 0.48, 95% CI 0.12-1.94), Jeddah 2.3% (OR 0.27, 95% CI 0.31-2.25), and Qassim 2.9 % (OR 0.34, 95% CI 0.04-2.89) and these were not statistically different from seroprevalence in the Makkah region. Conclusion(s): At the early months of the COVID-19 pandemic in Saudi Arabia, the seroprevalence of antibodies to SARS-CoV-2 among blood donors was low, but was higher among non-citizens. These findings may indicate that non-citizens and less educated individuals may be less attentive to preventive measures. Monitoring seroprevalence trends over time require repeated sampling.Copyright © 2021 The Author(s)",2021,/,International Journal of Infectious Diseases,104,"(Banjar, Alfaifi, Alabdulkareem, Jokhdar, Assiri, Almudarra) Deputy Ministry for Public Health, Ministry of Health, Riyadh, Saudi Arabia(Al-Tawfiq) Infectious Disease Unit, Specialty Internal Medicine, Johns Hopkins Aramco Healthcare, Dhahran, Saudi Arabi",452-457,,http://dx.doi.org/10.1016/j.ijid.2021.01.028,2010924448,#80160,Banjar 2021,"",""
